source_role,url,prediction_keys,source_locators,preservation_level,archived_copy_url,archive_status,preserved_capsule_count,preserved_text_capsule_sha256
prediction_source,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,34-CCC-2013-034-08;34-CCC-2013-034-09;34-CCC-2013-034-10;34-CCC-2013-034-11;34-CCC-2013-034-12;34-CCC-2013-034-13;34-CCC-2013-034-14,01:06:16-01:06:43;01:06:36-01:06:49;01:06:49-01:06:59;01:19:04-01:19:35;01:20:32-01:21:27;01:21:20-01:21:34;01:22:53-01:24:31,locator_and_text_capsule,,pending_external_archive,7,2CA988684D97E9AFCEF52A653620FA3469390CE2E64A138FDF1F5067609936DF
prediction_source,https://media.ccc.de/v/31c3_-_6265_-_en_-_saal_6_-_201412281600_-_the_automobile_as_massive_data_gathering_source_and_the_consequences_for_individual_privacy_-_jimmy_schulz_-_dr_rudiger_hanig,92-CCC-2014-045-01,00:03:32-00:03:44,locator_and_text_capsule,,pending_external_archive,1,EE29D06A46C23CCCE55538A958551926FA70DA1DA59DFFB00E1D0281E58DBD20
prediction_source,https://media.ccc.de/v/31c3_-_6572_-_de_-_saal_1_-_201412301715_-_security_nightmares_-_frank_-_ron,123-CCC-2014-048-01;123-CCC-2014-048-02;123-CCC-2014-048-03,01:11:31-01:12:03;01:22:02-01:22:12;01:24:18-01:25:07,locator_and_text_capsule,,pending_external_archive,3,FB60F6F7B62B8CA39ADACE1B0DA7FCEC3A4FB9DC6EDA652FB1803E745F602698
prediction_source,https://media.ccc.de/v/32c3-7546-security_nightmares_0x10,131-CCC-2015-056-01;131-CCC-2015-056-02;131-CCC-2015-056-03;131-CCC-2015-056-04;131-CCC-2015-056-05,00:50:42-00:51:14;00:53:33-00:54:45;00:56:38-00:56:51;01:00:49-01:01:05;01:07:34-01:07:55,locator_and_text_capsule,,pending_external_archive,5,E17817788236B8ECEB847870542E41D4310F2722A3A600CAF1ADD26A428A21F2
prediction_source,https://media.ccc.de/v/33c3-8074-recount_2016_an_uninvited_security_audit_of_the_u_s_presidential_election,126-CCC-2016-058-01,00:48:20-00:48:38,locator_and_text_capsule,,pending_external_archive,1,98B50335764676EAA2080C07445CC19340FED256923FC75C5359D2BBE771B46D
prediction_source,https://media.ccc.de/v/33c3-8413-security_nightmares_0x11,59-CCC-2016-060-01;59-CCC-2016-060-05;59-CCC-2016-060-06;59-CCC-2016-060-07;59-CCC-2016-060-11,00:55:48-00:55:58;01:01:40-01:01:58;01:02:19-01:02:36;01:02:36-01:02:49;01:06:24-01:06:47,locator_and_text_capsule,,pending_external_archive,5,8A18FC344F0F836A899B94662A77DC395B9C99B7A402DA12AFEA5BAF39E31358
prediction_source,https://media.ccc.de/v/34c3-8874-gamified_control,136-CCC-2017-062-01;136-CCC-2017-062-02;136-CCC-2017-062-03;136-CCC-2017-062-04,00:17:33-00:17:49;00:19:06-00:19:21;00:28:14-00:29:05;00:38:09-00:38:44,locator_and_text_capsule,,pending_external_archive,4,A3CBD17C81C29BFF286982046D17EB2B642FAC6A80A2723748EF7758CF363C48
prediction_source,https://media.ccc.de/v/34c3-8888-security_nightmares_0x12,43-CCC-2017-073-01;43-CCC-2017-073-02,01:07:02-01:07:18;01:07:10-01:07:21,locator_and_text_capsule,,pending_external_archive,2,20AAEE24EBA82EA6144564D986D78F64CA9D0A6C47BEBA6A371D50C2FDBEABDF
prediction_source,https://media.ccc.de/v/34c3-9172-fuck_dutch_mass-surveillance_let_s_have_a_referendum,133-CCC-2017-072-01,00:13:55-00:14:03,locator_and_text_capsule,,pending_external_archive,1,9B28D7F398B2F52E72943E622BD0B61510EA60B63CDE8C86F24191FE6A43EF12
prediction_source,https://media.ccc.de/v/34c3-9270-dude_you_broke_the_future,130-CCC-2017-061-06,00:44:36-00:44:51,locator_and_text_capsule,,pending_external_archive,1,FDF9C0767175E8A411E256621510FF2570BB2C7C4A06DCAA3180E06E3166FFAE
prediction_source,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,23-CCC-2018-085-01;23-CCC-2018-085-02;23-CCC-2018-085-03;23-CCC-2018-085-04;23-CCC-2018-085-05;23-CCC-2018-085-06;23-CCC-2018-085-07,00:53:51-00:54:56;00:55:05-00:55:14;00:55:10-00:55:16;00:57:42-00:58:30;00:58:30-00:58:45;00:58:45-00:58:54;01:00:24-01:00:44,locator_and_text_capsule,,pending_external_archive,7,06D33EC61DD0897CD46B3B66948F81D0336426D9B074673ECDE2A7CB61CA3F01
prediction_source,https://media.ccc.de/v/35c3-9904-the_social_credit_system,49-CCC-2018-074-01,00:34:42-00:35:13,locator_and_text_capsule,,pending_external_archive,1,2EA1C98F0520620D56A6FAFBF7D646C36DF4DBB4039150551FCD1D2BAF1D686F
prediction_source,https://media.ccc.de/v/35c3-9917-election_cybersecurity_progress_report,30-CCC-2018-076-02;30-CCC-2018-076-03;30-CCC-2018-076-08,00:21:22-00:21:39;00:21:22-00:22:32;00:48:22-00:48:32,locator_and_text_capsule,,pending_external_archive,3,0EE3D3C4640355DFA3EDC416F19A6686F2B9982F0760F7D4E680050421C6C115
prediction_source,https://www.youtube.com/watch?v=HtXCxA76Zbo,31-VB-2016-P01-01;31-VB-2016-P01-02;31-VB-2016-P01-06;31-VB-2016-P01-07;31-VB-2016-P01-08;31-VB-2016-P01-09;31-VB-2016-P01-10;31-VB-2016-P01-11,00:07:33-00:08:00;00:16:01-00:16:12;00:26:41-00:28:03;00:26:41-00:28:27;00:26:41-00:29:43;00:26:41-00:30:24;00:26:41-00:31:26;00:26:41-00:32:35,locator_and_text_capsule,,pending_external_archive,8,2BB165376CF44CE369BEB59A04EC5F83CA631B2061822D150AF66FEF9F29EF79
prediction_source,https://www.youtube.com/watch?v=JWm2AICa6rg,44-VB-2015-P02-01,00:18:32-00:18:45,locator_and_text_capsule,,pending_external_archive,1,812E2188564DD5247E14340A06CC0C58936FB1BEB591E704214A18BF2FE1CF5A
